product_link,product_name,brand,Price,rating,review_count,Refresh_Rate,Contrast_Ratio,Response_Time,Synchronization_Technology,Panel_Type,Curved_Screen,Brightness,Screen_Size,HDR,Smart_Display,Touch_Screen,Quantum_Dot_Technology,Headphone_Jack,Voice_Assistant,Wall_Mountable,Anti_Glare,Speaker,Webcam,Weight,Resolution,Total_Pixels
https://www.bestbuy.com/site/samsung-t350-series-24-ips-led-fhd-freesync-hdmi-vga-dark-blue-gray/6420870.p?skuId=6420870,"Samsung - T350 Series 24"" IPS LED FHD, FreeSync (HDMI, VGA) - Dark Blue Gray",Samsung,139.99,4.6,1838.0,75.0,1000.0,5.0,FreeSync,IPS,No,250.0,24.0,No,No,No,No,No,No,Yes,No,No,No,5.95,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-390-series-24-led-curved-fhd-freesync-monitor-hdmi-vga-high-glossy-black/5044601.p?skuId=5044601,"Samsung - 390 Series 24"" LED Curved FHD FreeSync Monitor (HDMI, VGA) - High glossy black",Samsung,139.99,4.7,5106.0,60.0,3000.0,4.0,FreeSync,VA,Yes,250.0,24.0,No,No,No,No,Yes,No,Yes,No,No,No,7.3,1920 x 1080,2073600
https://www.bestbuy.com/site/lg-34-ultrawide-full-hd-hdr-monitor-with-freesync/6451082.p?skuId=6451082,LG 34” UltraWide Full HD HDR Monitor with FreeSync,LG,299.99,4.5,425.0,75.0,1000.0,5.0,FreeSync,IPS,No,250.0,34.0,Yes,No,No,No,Yes,No,Yes,Yes,No,No,13.1,2560 x 1080,2764800
https://www.bestbuy.com/site/dell-s3222dgm-32-led-curved-qhd-freesync-gaming-monitor-displayport-hdmi-black/6473700.p?skuId=6473700,"Dell - S3222DGM 32"" LED Curved QHD FreeSync Gaming Monitor (DisplayPort, HDMI) - Black",Dell,299.99,4.8,277.0,165.0,3000.0,2.0,FreeSync,VA,Yes,350.0,32.0,No,No,No,No,Yes,No,Yes,Yes,No,No,22.4,2560 x 1440,3686400
https://www.bestbuy.com/site/samsung-ur55-series-28-ips-4k-uhd-monitor-black/6386391.p?skuId=6386391,"Samsung - UR55 Series 28"" IPS 4K UHD Monitor - Black",Samsung,319.99,4.6,1840.0,60.0,1000.0,4.0,FreeSync,IPS,No,300.0,28.0,Yes,No,No,No,No,No,Yes,No,No,No,12.8,3840 x 2160,8294400
https://www.bestbuy.com/site/samsung-crg9-series-odyssey-49-led-curved-dual-qhd-freesync-and-g-sync-gaming-monitor-black-black/6360752.p?skuId=6360752,"Samsung - CRG9 Series Odyssey 49"" LED Curved Dual QHD FreeSync and G-Sync Gaming Monitor - Black - Black",Samsung,999.99,4.7,19.0,120.0,3000.0,4.0,FreeSync,VA,Yes,1000.0,49.0,Yes,No,No,Yes,Yes,No,Yes,No,No,No,32.2,5120 x 1440,7372800
https://www.bestbuy.com/site/hp-27-ips-led-fhd-freesync-monitor-2-x-hdmi-vga-silver-and-black/6454577.p?skuId=6454577,"HP - 27"" IPS LED FHD FreeSync Monitor (2 x HDMI, VGA) - Silver and Black",HP,229.99,4.8,365.0,70.0,10000000.0,5.0,FreeSync,IPS,No,300.0,27.0,No,No,No,No,No,No,No,Yes,No,No,7.05,1920 x 1080,2073600
https://www.bestbuy.com/site/hp-21-5-ips-led-full-hd-freesync-monitor-hdmi-vga-silver-black/6455487.p?skuId=6455487,"HP - 21.5"" IPS LED Full HD FreeSync Monitor (HDMI, VGA) - Silver & Black",HP,144.99,4.7,547.0,75.0,10000000.0,5.0,FreeSync,IPS,No,300.0,21.5,No,No,No,No,No,No,No,Yes,No,No,4.85,1920 x 1080,2073600
https://www.bestbuy.com/site/dell-s2421nx-24-ips-led-fhd-amd-freesync-vesa-monitor-hdmi-black/6425902.p?skuId=6425902,"Dell - S2421NX 24"" IPS LED FHD - AMD FreeSync - VESA - Monitor (HDMI) - Black",Dell,179.99,4.7,903.0,75.0,1000.0,4.0,FreeSync,IPS,No,250.0,23.8,No,No,No,No,No,No,Yes,Yes,No,No,8.47,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-27-odyssey-gaming-crg5-series-led-curved-240hz-fhd-monitor-with-g-sync-compatibility-dark-blue-gray/6366122.p?skuId=6366122,Samsung - 27” Odyssey Gaming CRG5 Series LED Curved 240Hz FHD Monitor with G-SYNC Compatibility - Dark Blue/Gray,Samsung,279.99,4.6,1625.0,240.0,3000.0,4.0,G-SYNC,VA,Yes,300.0,27.0,No,No,No,No,Yes,No,Yes,No,No,No,10.1,1920 x 1080,2073600
https://www.bestbuy.com/site/alienware-aw2521hfl-25-ips-led-fhd-freesync-and-g-sync-compatible-gaming-monitor-displayport-hdmi-usb-lunar-light/6406940.p?skuId=6406940,"Alienware - AW2521HFL 25"" IPS LED FHD FreeSync and G-SYNC Compatible Gaming Monitor (DisplayPort, HDMI, USB) - Lunar Light",Alienware,259.99,4.7,493.0,240.0,1000.0,1.0,FreeSync&G-SYNC,IPS,No,400.0,24.5,No,No,No,No,Yes,No,Yes,Yes,No,No,7.8,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-odyssey-g7-28-ips-1ms-4k-uhd-freesync-g-sync-compatible-gaming-monitor-with-hdr-black/6463480.p?skuId=6463480,"Samsung - Odyssey G7 28"" IPS 1ms 4K UHD FreeSync & G-Sync Compatible Gaming Monitor with HDR - Black",Samsung,799.99,4.3,350.0,144.0,1000.0,1.0,FreeSync&G-SYNC,IPS,No,400.0,28.0,Yes,No,No,No,Yes,No,Yes,No,No,No,17.4,3840 x 2160,8294400
https://www.bestbuy.com/site/lg-27-full-hd-ips-monitor-with-amd-freesync-and-a-3-side-virtually-borderless-design-black/6451086.p?skuId=6451086,"LG - 27"" Full HD IPS Monitor with AMD FreeSync and a 3-Side Virtually Borderless Design - Black",LG,159.99,4.4,98.0,75.0,600.0,5.0,FreeSync,IPS,No,200.0,27.0,No,No,No,No,Yes,No,Yes,Yes,No,No,9.7,1920 x 1080,2073600
https://www.bestbuy.com/site/acer-nitro-xf273-sbmiiprx-27-full-hd-monitor-hdmi/6425563.p?skuId=6425563,"Acer - Nitro XF273 Sbmiiprx 27"" Full HD Monitor (HDMI)",Acer,209.99,4.6,408.0,144.0,100000000.0,1.0,Not Applicable,IPS,No,250.0,27.0,Yes,No,No,No,No,No,Yes,No,No,No,13.45,1920 x 1080,2073600
